omega,S_connected_symmetrized
-4.968818535181024743e+01,0.000000000000000000e+00
-4.966071814044938293e+01,0.000000000000000000e+00
-4.963325092908851133e+01,0.000000000000000000e+00
-4.960578371772764683e+01,0.000000000000000000e+00
-4.957831650636677523e+01,0.000000000000000000e+00
-4.955084929500591073e+01,0.000000000000000000e+00
-4.952338208364503913e+01,0.000000000000000000e+00
-4.949591487228417463e+01,0.000000000000000000e+00
-4.946844766092330303e+01,0.000000000000000000e+00
-4.944098044956243854e+01,0.000000000000000000e+00
-4.941351323820156694e+01,0.000000000000000000e+00
-4.938604602684070244e+01,0.000000000000000000e+00
-4.935857881547983084e+01,0.000000000000000000e+00
-4.933111160411896634e+01,0.000000000000000000e+00
-4.930364439275809474e+01,0.000000000000000000e+00
-4.927617718139723024e+01,0.000000000000000000e+00
-4.924870997003635864e+01,0.000000000000000000e+00
-4.922124275867549414e+01,0.000000000000000000e+00
-4.919377554731462254e+01,0.000000000000000000e+00
-4.916630833595375805e+01,0.000000000000000000e+00
-4.913884112459288644e+01,0.000000000000000000e+00
-4.911137391323202195e+01,0.000000000000000000e+00
-4.908390670187115035e+01,0.000000000000000000e+00
-4.905643949051028585e+01,0.000000000000000000e+00
-4.902897227914941425e+01,0.000000000000000000e+00
-4.900150506778854975e+01,0.000000000000000000e+00
-4.897403785642767815e+01,0.000000000000000000e+00
-4.894657064506681365e+01,0.000000000000000000e+00
-4.891910343370594205e+01,0.000000000000000000e+00
-4.889163622234507756e+01,0.000000000000000000e+00
-4.886416901098420595e+01,0.000000000000000000e+00
-4.883670179962334146e+01,0.000000000000000000e+00
-4.880923458826246986e+01,0.000000000000000000e+00
-4.878176737690160536e+01,0.000000000000000000e+00
-4.875430016554073376e+01,0.000000000000000000e+00
-4.872683295417986926e+01,0.000000000000000000e+00
-4.869936574281899766e+01,0.000000000000000000e+00
-4.867189853145813316e+01,0.000000000000000000e+00
-4.864443132009726156e+01,0.000000000000000000e+00
-4.861696410873639707e+01,0.000000000000000000e+00
-4.858949689737552546e+01,0.000000000000000000e+00
-4.856202968601466097e+01,0.000000000000000000e+00
-4.853456247465378937e+01,0.000000000000000000e+00
-4.850709526329292487e+01,0.000000000000000000e+00
-4.847962805193205327e+01,0.000000000000000000e+00
-4.845216084057118877e+01,0.000000000000000000e+00
-4.842469362921031717e+01,0.000000000000000000e+00
-4.839722641784945267e+01,0.000000000000000000e+00
-4.836975920648858107e+01,0.000000000000000000e+00
-4.834229199512771658e+01,0.000000000000000000e+00
-4.831482478376685208e+01,0.000000000000000000e+00
-4.828735757240598048e+01,0.000000000000000000e+00
-4.825989036104510888e+01,0.000000000000000000e+00
-4.823242314968424438e+01,0.000000000000000000e+00
-4.820495593832337988e+01,0.000000000000000000e+00
-4.817748872696250828e+01,0.000000000000000000e+00
-4.815002151560163668e+01,0.000000000000000000e+00
-4.812255430424077218e+01,0.000000000000000000e+00
-4.809508709287990769e+01,0.000000000000000000e+00
-4.806761988151903608e+01,0.000000000000000000e+00
-4.804015267015816448e+01,0.000000000000000000e+00
-4.801268545879729999e+01,0.000000000000000000e+00
-4.798521824743643549e+01,0.000000000000000000e+00
-4.795775103607556389e+01,0.000000000000000000e+00
-4.793028382471469229e+01,0.000000000000000000e+00
-4.790281661335382779e+01,0.000000000000000000e+00
-4.787534940199296329e+01,0.000000000000000000e+00
-4.784788219063209169e+01,0.000000000000000000e+00
-4.782041497927122009e+01,0.000000000000000000e+00
-4.779294776791035559e+01,0.000000000000000000e+00
-4.776548055654949110e+01,0.000000000000000000e+00
-4.773801334518861950e+01,0.000000000000000000e+00
-4.771054613382774789e+01,0.000000000000000000e+00
-4.768307892246688340e+01,0.000000000000000000e+00
-4.765561171110601890e+01,0.000000000000000000e+00
-4.762814449974514730e+01,0.000000000000000000e+00
-4.760067728838427570e+01,0.000000000000000000e+00
